"RID";"FD";"TD";"KEY";"TP_CDR";"TP_CDR2";"GPRS_UNION";"GEN_TAP_MODE";"TRANSIT_START";"TRANSIT_END";"TRANSIT_PERIOD";"TAP_NOTIFICATION";"TASK_RID";"NUMBER_TYPES"
4228;1609459200;4070908800;"23179.2";1822;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
2571;1546300800;1583020799;"23180.2";484;;;1;"01:00";"23:59";720;720;;
2570;1583020800;4070908800;"23180.2";1106;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
4843;1546300800;1612137599;"23181.2";484;;1;2;"01:00";"23:59";720;720;;"1,2,3"
4842;1612137600;4070908800;"23181.2";2235;463;1;1;"00:00";"23:59";720;720;;"1,2,3"
2832;1546300800;1585699199;"23182.2";484;;;1;"01:00";"23:59";720;720;;
2831;1585699200;4070908800;"23182.2";1245;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
2284;1546300800;1577836799;"23183.2";484;;;1;"01:00";"23:59";720;720;;
2283;1577836800;4070908800;"23183.2";963;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
3677;1546300800;1609459199;"23184.2";484;;;2;"01:00";"23:59";720;720;;
3676;1609459200;4070908800;"23184.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
4351;1546300800;1609459199;"23185.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4350;1609459200;4070908800;"23185.2";1895;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
4773;1609459200;4070908800;"23186.1";2011;463;1;2;;;;720;;"1,2,3"
3133;1546300800;1600128000;"23186.2";484;;;1;"01:00";"23:59";720;720;;
3687;1546300800;1609459199;"23187.2";484;;;2;"01:00";"23:59";720;720;;
6871;1609459200;1714521599;"23187.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
6870;1714521600;4070908800;"23187.2";2791;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
3717;1546300800;1609459199;"23188.2";484;;;2;"01:00";"23:59";720;720;;
3716;1609459200;4070908800;"23188.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
4497;1546300800;1609459199;"23189.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4496;1609459200;4070908800;"23189.2";1973;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
4381;1546300800;1609459199;"23190.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4380;1609459200;4070908800;"23190.2";1895;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
2286;1546300800;1577836799;"23191.2";484;;;1;"01:00";"23:59";720;720;;
2285;1577836800;4070908800;"23191.2";964;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
6596;1546300800;4070908800;"23192.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
4845;1546300800;1612137599;"23193.2";484;;1;2;"01:00";"23:59";720;720;;"1,2,3"
4844;1612137600;4070908800;"23193.2";2235;463;1;1;"00:00";"23:59";720;720;;"1,2,3"
3992;1546300800;1609459199;"23194.2";484;;;2;"01:00";"23:59";720;720;;
3991;1609459200;4070908800;"23194.2";1738;463;1;1;"01:00";"23:59";720;720;1029373;"1,2,3"
4367;1546300800;1609459199;"23195.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
