"RID";"FD";"TD";"KEY";"TAX_PROFILE";"SERVICE_PROFILE";"TP_CHECK";"CHECK_MODE";"TP_REPRICE";"TRANSIT_TAP_MODE";"TRANSIT_START";"TRANSIT_END";"TRANSIT_PERIOD";"GEN_RAP";"TRANSIT_RAP";"PASS_RC_LESS_IC";"IOT_THRESHOLD";"IOT_DEBUG"
1709;1546300800;4070908800;"22870.2";3;;;;;1;;;;1;1;0;;
1710;1546300800;4070908800;"22871.2";3;;;;;1;;;;1;1;0;;
12450;1690761600;4070908800;"22872.1";3;;;;;1;;;;1;1;0;;0
12390;1546300800;1690761599;"22872.2";3;;;;;1;;;;1;1;0;;
1712;1546300800;4070908800;"22873.2";3;;;;;1;;;;1;1;0;;
1713;1546300800;4070908800;"22874.2";3;;;;;1;;;;1;0;0;;
9797;1546300800;1577836799;"22875.2";3;;;;;1;;;;1;1;0;;
9796;1577836800;4070908800;"22875.2";2;;;;;1;;;;1;1;0;;0
1715;1546300800;4070908800;"22876.2";3;;;;;1;;;;1;1;0;;
1716;1546300800;4070908800;"22877.2";3;;;;;1;;;;1;1;0;;
1717;1546300800;4070908800;"22878.2";3;;;;;1;;;;1;1;0;;
1718;1546300800;4070908800;"22879.2";3;;;;;1;;;;1;1;0;;
1719;1546300800;4070908800;"22880.2";3;;;;;1;;;;1;1;0;;
10147;1619827200;4070908800;"22881.1";2;;;;;1;;;;1;0;0;;0
1720;1546300800;4070908800;"22881.2";3;;;;;1;;;;1;0;0;;
1721;1546300800;4070908800;"22882.2";3;;;;;1;;;;1;1;0;;
1722;1546300800;4070908800;"22883.2";3;;;;;1;;;;1;1;0;;
1723;1546300800;4070908800;"22884.2";3;;;;;1;;;;1;1;0;;
1724;1546300800;4070908800;"22885.2";3;;;;;1;;;;1;1;0;;
1725;1546300800;4070908800;"22886.2";3;;;;;1;;;;1;1;0;;
1726;1546300800;4070908800;"22887.2";3;;;;;1;;;;1;1;0;;
1727;1546300800;4070908800;"22888.2";3;;;;;1;;;;1;0;0;;
1728;1546300800;4070908800;"22889.2";3;;;;;1;;;;1;1;0;;
1729;1546300800;4070908800;"22890.2";3;;;;;1;;;;1;1;0;;
1730;1546300800;4070908800;"22891.2";3;;;;;1;;;;1;0;0;;
1731;1546300800;4070908800;"22892.2";3;;;;;1;;;;1;1;0;;
1732;1546300800;4070908800;"22893.2";3;;;;;1;;;;1;0;0;;
1733;1546300800;4070908800;"22894.2";3;;;;;1;;;;1;1;0;;
