"RID";"TO_EPOCH(FD,0)";"TO_EPOCH(TD,0)";"KEY";"ID";"PLAN_ID";"CONN_TYPE_ID";"ZONE_NAME";"INTERVAL_GROUP_ID";"TRANGE_GROUP_ID";"TRANGE_ID";"CURRENCY_ID";"CTL1";"CTL2";"CTL3";"SERVICE_CLASS";"PRICE";"COEF";"FS";"CL";"REPRICE_MODE";"P_FD"
9395;1580515200;4070908800;"1104.12...164.164.";5775;1104;12;;;164;164;3;0;0;0;;0;;;;0;"20200201"
9392;1580515200;4070908800;"1104.2.401.163.164.164.";5766;1104;2;401;163;164;164;3;1;0;0;;0.15;;;;0;"20200101"
9391;1580515200;4070908800;"1104.2.402.163.164.164.";5767;1104;2;402;163;164;164;3;2;0;0;;0.15;;;;0;"20200101"
9404;1580515200;4070908800;"1104.2.403.163.164.164.";5768;1104;2;403;163;164;164;3;2;0;0;;0.15;;;;0;"20200101"
9403;1580515200;4070908800;"1104.2.404.163.164.164.";5769;1104;2;404;163;164;164;3;2;0;0;;0.15;;;;0;"20200101"
9402;1580515200;4070908800;"1104.2.405.165.164.164.";5770;1104;2;405;165;164;164;3;2;5;0;;12;;;;0;"20200101"
9394;1580515200;4070908800;"1104.2.406.165.164.164.";5771;1104;2;406;165;164;164;3;2;5;0;;5.5;;;;0;"20200101"
9873;1580515200;4070908800;"1104.2.861.163.164.164.";5765;1104;2;861;163;164;164;3;2;0;0;;0.15;0;;;;"20200101"
9660;1580515200;1593561600;"1104.27..163.164.164.";5778;1104;27;;163;164;164;3;1;2;2;;0.155;;;;0;"20200201"
9400;1580515200;4070908800;"1104.29..163...";5772;1104;29;;163;;;3;1;2;3;;0;;;;0;"20200201"
9396;1580515200;4070908800;"1104.3...164.164.";5774;1104;3;;;164;164;3;0;0;0;;0;;;;0;"20200201"
9397;1580515200;4070908800;"1104.4...164.164.";5777;1104;4;;;164;164;3;2;1;0;;0.02;;;;0;"20200201"
9398;1580515200;4070908800;"1104.7..283.164.164.";5776;1104;7;;283;164;164;3;10;0;0;;0.002;;;;0;"20200201"
9413;1580515200;4070908800;"1105.1..163.164.164.";5787;1105;1;;163;164;164;3;0;0;0;;0;;;;0;"20200201"
9411;1580515200;4070908800;"1105.12...164.164.";5785;1105;12;;;164;164;3;0;0;0;;0;;;;0;"20200201"
9408;1580515200;4070908800;"1105.2.401.163.164.164.";5782;1105;2;401;163;164;164;3;1;0;0;;0.2;;;;0;"20200201"
9407;1580515200;4070908800;"1105.2.402.163.164.164.";5781;1105;2;402;163;164;164;3;2;0;0;;0.2;;;;0;"20200201"
9418;1580515200;4070908800;"1105.2.403.163.164.164.";5792;1105;2;403;163;164;164;3;2;0;0;;0.2;;;;0;"20200201"
9417;1580515200;4070908800;"1105.2.404.163.164.164.";5791;1105;2;404;163;164;164;3;2;0;0;;0.2;;;;0;"20200201"
9416;1580515200;4070908800;"1105.2.405.165.164.164.";5790;1105;2;405;165;164;164;3;2;5;0;;12;;;;0;"20200201"
9410;1580515200;4070908800;"1105.2.406.165.164.164.";5784;1105;2;406;165;164;164;3;2;5;0;;5.5;;;;0;"20200201"
9872;1580515200;4070908800;"1105.2.861.163.164.164.";5783;1105;2;861;163;164;164;3;2;0;0;;0.2;0;;;;"20200201"
9659;1580515200;1593561600;"1105.27..163.164.164.";5789;1105;27;;163;164;164;3;1;2;2;;0.155;;;;0;"20200201"
9414;1580515200;4070908800;"1105.29..163...";5788;1105;29;;163;;;3;1;2;3;;0;;;;0;"20200201"
9412;1580515200;4070908800;"1105.3...164.164.";5786;1105;3;;;164;164;3;0;0;0;;0;;;;0;"20200201"
9405;1580515200;4070908800;"1105.4...164.164.";5779;1105;4;;;164;164;3;2;1;0;;0.05;;;;0;"20200201"
9406;1580515200;4070908800;"1105.7..283.164.164.";5780;1105;7;;283;164;164;3;10;0;0;;0.02;;;;0;"20200201"
9432;1583020800;4070908800;"1106.1..163.164.164.";5806;1106;1;;163;164;164;3;0;0;0;;0;;;;0;"20200201"
9430;1583020800;4070908800;"1106.12...164.164.";5804;1106;12;;;164;164;3;0;0;0;;0;;;;0;"20200201"
9427;1583020800;4070908800;"1106.2.401.163.164.164.";5801;1106;2;401;163;164;164;3;1;0;0;;0.18;;;;0;"20200201"
9426;1583020800;4070908800;"1106.2.402.163.164.164.";5800;1106;2;402;163;164;164;3;2;0;0;;0.18;;;;0;"20200201"
9423;1583020800;4070908800;"1106.2.403.163.164.164.";5797;1106;2;403;163;164;164;3;2;0;0;;0.18;;;;0;"20200201"
9422;1583020800;4070908800;"1106.2.404.163.164.164.";5796;1106;2;404;163;164;164;3;2;0;0;;0.18;;;;0;"20200201"
9421;1583020800;4070908800;"1106.2.405.165.164.164.";5795;1106;2;405;165;164;164;3;2;5;0;;12;;;;0;"20200201"
9429;1583020800;4070908800;"1106.2.406.165.164.164.";5803;1106;2;406;165;164;164;3;2;5;0;;5.5;;;;0;"20200201"
9871;1583020800;4070908800;"1106.2.861.163.164.164.";5802;1106;2;861;163;164;164;3;2;0;0;;0.18;0;;;;"20200201"
9648;1583020800;1593561600;"1106.27..163.164.164.";5794;1106;27;;163;164;164;3;1;2;2;;0.155;;;;0;"20200201"
9419;1583020800;4070908800;"1106.29..163...";5793;1106;29;;163;;;3;1;2;3;;0;;;;0;"20200201"
9431;1583020800;4070908800;"1106.3...164.164.";5805;1106;3;;;164;164;3;0;0;0;;0;;;;0;"20200201"
9424;1583020800;4070908800;"1106.4...164.164.";5798;1106;4;;;164;164;3;2;1;0;;0.01;;;;0;"20200201"
9425;1583020800;4070908800;"1106.7..283.164.164.";5799;1106;7;;283;164;164;3;10;0;0;;0.01;;;;0;"20200201"
9441;1580515200;4070908800;"1123.1..163.164.164.";5815;1123;1;;163;164;164;3;0;0;0;;0;;;;0;"20200201"
9439;1580515200;4070908800;"1123.12...164.164.";5813;1123;12;;;164;164;3;0;0;0;;0;;;;0;"20200201"
9436;1580515200;4070908800;"1123.2.401.163.164.164.";5810;1123;2;401;163;164;164;3;1;0;0;;0.11;;;;0;"20200201"
9435;1580515200;4070908800;"1123.2.402.163.164.164.";5809;1123;2;402;163;164;164;3;2;0;0;;0.11;;;;0;"20200201"
9446;1580515200;4070908800;"1123.2.403.163.164.164.";5820;1123;2;403;163;164;164;3;2;0;0;;0.11;;;;0;"20200201"
9445;1580515200;4070908800;"1123.2.404.163.164.164.";5819;1123;2;404;163;164;164;3;2;0;0;;0.11;;;;0;"20200201"
9444;1580515200;4070908800;"1123.2.405.165.164.164.";5818;1123;2;405;165;164;164;3;2;5;0;;12;;;;0;"20200201"
9438;1580515200;4070908800;"1123.2.406.165.164.164.";5812;1123;2;406;165;164;164;3;2;5;0;;5.5;;;;0;"20200201"
9870;1580515200;4070908800;"1123.2.861.163.164.164.";5811;1123;2;861;163;164;164;3;2;0;0;;0.11;0;;;;"20200201"
9637;1580515200;1593561600;"1123.27..163.164.164.";5817;1123;27;;163;164;164;3;1;2;2;;0.155;;;;0;"20200201"
9442;1580515200;4070908800;"1123.29..163...";5816;1123;29;;163;;;3;1;2;3;;0;;;;0;"20200201"
9440;1580515200;4070908800;"1123.3...164.164.";5814;1123;3;;;164;164;3;0;0;0;;0;;;;0;"20200201"
9433;1580515200;4070908800;"1123.4...164.164.";5807;1123;4;;;164;164;3;2;1;0;;0.0044;;;;0;"20200201"
9434;1580515200;4070908800;"1123.7..283.164.164.";5808;1123;7;;283;164;164;3;10;0;0;;0.00243;;;;0;"20200201"
9464;1577886802;4070908800;"1143.1..163.164.164.";5832;1143;1;;163;164;164;3;0;0;0;;0;;;;0;"20200101"
9466;1577886802;4070908800;"1143.12...164.164.";5834;1143;12;;;164;164;3;0;0;0;;0;;;;0;"20200101"
9479;1577886802;4070908800;"1143.2.841.163.164.164.";5842;1143;2;841;163;164;164;3;1;0;0;;0.2;0;;;;"20200101"
9485;1577886802;4070908800;"1143.2.842.163.164.164.";5845;1143;2;842;163;164;164;3;0;0;0;;0.2;0;;;;"20200101"
9481;1577886802;4070908800;"1143.2.843.163.164.164.";5840;1143;2;843;163;164;164;3;2;0;0;;0.2;0;;;;"20200101"
9482;1577886802;4070908800;"1143.2.844.163.164.164.";5839;1143;2;844;163;164;164;3;2;0;0;;0.2;0;;;;"20200101"
9478;1577886802;4070908800;"1143.2.845.165.164.164.";5844;1143;2;845;165;164;164;3;2;5;0;;5.5;0;;;;"20200101"
9477;1577886802;4070908800;"1143.2.846.165.164.164.";5838;1143;2;846;165;164;164;3;2;5;0;;12;0;;;;"20200101"
9484;1577886802;4070908800;"1143.2.847.165.164.164.";5841;1143;2;847;165;164;164;3;2;0;0;;1.6;0;;;;"20200101"
9486;1577886802;4070908800;"1143.2.848.165.164.164.";5846;1143;2;848;165;164;164;3;0;0;0;;3.7;0;;;;"20200101"
9487;1577886802;4070908800;"1143.2.849.165.164.164.";5847;1143;2;849;165;164;164;3;0;0;0;;5.5;0;;;;"20200101"
10114;1577886802;4070908800;"1143.2.900.163.164.164.";5843;1143;2;900;163;164;164;3;2;0;0;;0.2;0;;;;"20200101"
9626;1577886802;1593561600;"1143.27..163.164.164.";5837;1143;27;;163;164;164;3;1;2;2;;0.155;;;;0;"20200101"
9463;1577886802;4070908800;"1143.29..163...";5831;1143;29;;163;;;3;1;2;3;;0;;;;0;"20200101"
9465;1577886802;4070908800;"1143.3...164.164.";5833;1143;3;;;164;164;3;0;0;0;;0;;;;0;"20200101"
9468;1577886802;4070908800;"1143.4...164.164.";5836;1143;4;;;164;164;3;2;1;0;;0.02;;;;0;"20200101"
9467;1577886802;4070908800;"1143.7..283.164.164.";5835;1143;7;;283;164;164;3;10;0;0;;0.005;;;;0;"20200101"
9503;1580515200;4070908800;"1144.1..163.164.164.";5848;1144;1;;163;164;164;3;0;0;0;;0;;;;0;"20200201"
9512;1580515200;4070908800;"1144.12...164.164.";5857;1144;12;;;164;164;3;0;0;0;;0;;;;0;"20200201"
9514;1580515200;4070908800;"1144.2.401.163.164.164.";5859;1144;2;401;163;164;164;3;1;0;0;;0.22727;;;;0;"20200201"
9506;1580515200;4070908800;"1144.2.402.163.164.164.";5851;1144;2;402;163;164;164;3;2;0;0;;0.22727;;;;0;"20200201"
9507;1580515200;4070908800;"1144.2.403.163.164.164.";5852;1144;2;403;163;164;164;3;2;0;0;;0.22727;;;;0;"20200201"
9515;1580515200;4070908800;"1144.2.404.163.164.164.";5860;1144;2;404;163;164;164;3;2;0;0;;0.22727;;;;0;"20200201"
